City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
462,Salalah,17.0151,54.0924,84.29,84,75,6.91,broken clouds,OM,2022-05-22 19:35:43
463,Erzurum,40.0,41.5,55.08,61,96,1.21,overcast clouds,TR,2022-05-22 19:35:43
464,Sinnamary,5.3833,-52.95,80.08,83,92,6.2,overcast clouds,GF,2022-05-22 19:35:44
465,Masyaf,35.0653,36.3406,57.81,84,19,18.79,few clouds,SY,2022-05-22 19:35:44
466,El Alto,-4.2714,-81.2147,73.06,72,30,21.05,scattered clouds,PE,2022-05-22 19:35:44
467,Zhezkazgan,47.8043,67.7144,50.18,29,0,8.41,clear sky,KZ,2022-05-22 19:35:45
468,Yatou,37.15,122.3833,61.77,76,32,8.43,scattered clouds,CN,2022-05-22 19:35:45
469,Takoradi,4.8845,-1.7554,75.6,89,100,4.27,overcast clouds,GH,2022-05-22 19:35:45
470,Aberdeen,57.1437,-2.0981,59.65,80,100,14.97,overcast clouds,GB,2022-05-22 19:35:46
471,Khorixas,-20.3667,14.9667,62.85,17,2,12.15,clear sky,NA,2022-05-22 19:35:46
472,Burtunay,42.9886,46.6303,55.33,52,0,7.29,clear sky,RU,2022-05-22 19:35:46
473,Ajdabiya,30.7554,20.2263,65.53,65,0,5.99,clear sky,LY,2022-05-22 19:35:47
474,Vilaka,57.1846,27.6722,42.31,69,88,6.15,overcast clouds,LV,2022-05-22 19:35:47
475,Grafton,42.207,-71.6856,95.25,39,0,14.97,clear sky,US,2022-05-22 19:35:47
476,Sassandra,4.95,-6.0833,73.17,93,100,4.85,light rain,CI,2022-05-22 19:35:47
477,Marawi,7.9986,124.2928,69.67,92,99,3.24,overcast clouds,PH,2022-05-22 19:35:48
478,Tsiroanomandidy,-18.7667,46.0333,69.89,56,100,1.03,overcast clouds,MG,2022-05-22 19:35:48
479,Alta Floresta,-9.8756,-56.0861,91.22,29,0,4.61,clear sky,BR,2022-05-22 19:35:48
480,Verkhnetulomskiy,68.6073,31.7962,39.33,99,100,2.59,overcast clouds,RU,2022-05-22 19:35:49
481,Lorengau,-2.0226,147.2712,82.81,70,95,11.83,overcast clouds,PG,2022-05-22 19:35:49
482,Burns Lake,54.2331,-125.7533,62.02,25,0,7.43,clear sky,CA,2022-05-22 19:35:04
483,Igurubi,-4.0,33.7,72.79,61,90,6.78,overcast clouds,TZ,2022-05-22 19:35:49
484,Maraba,-5.3686,-49.1178,93.38,49,40,3.44,scattered clouds,BR,2022-05-22 19:35:50
485,Bud,39.447,-86.1758,68.2,53,100,12.26,overcast clouds,US,2022-05-22 19:35:50
486,Tual,-5.6667,132.75,83.01,76,44,15.03,scattered clouds,ID,2022-05-22 19:35:50
487,San Jeronimo,-11.9472,-75.2829,63.72,40,77,1.92,broken clouds,PE,2022-05-22 19:35:51
488,Ouallam,14.3188,2.0866,88.79,38,100,11.95,overcast clouds,NE,2022-05-22 19:35:51
489,Shirokiy,49.758,129.523,53.67,73,100,21.79,overcast clouds,RU,2022-05-22 19:35:51
490,Dukat,62.55,155.55,30.51,98,100,6.53,overcast clouds,RU,2022-05-22 19:35:52
491,Ode,7.7899,5.7117,71.4,94,95,7.7,overcast clouds,NG,2022-05-22 19:35:52
492,Srednekolymsk,67.45,153.6833,52.79,46,88,13.33,overcast clouds,RU,2022-05-22 19:32:37
493,Ugoofaaru,5.6667,73.0,83.21,77,76,13.67,broken clouds,MV,2022-05-22 19:35:52
494,Hambantota,6.1241,81.1185,79.41,85,80,17.0,broken clouds,LK,2022-05-22 19:32:43
495,Moroni,-11.7022,43.2551,79.97,81,26,6.38,light rain,KM,2022-05-22 19:35:53
496,Lumut,4.2323,100.6298,78.82,89,20,1.14,few clouds,MY,2022-05-22 19:35:53
497,Huarmey,-10.0681,-78.1522,70.34,72,10,9.06,clear sky,PE,2022-05-22 19:35:53
498,Leningradskiy,69.3833,178.4167,34.61,96,100,4.14,overcast clouds,RU,2022-05-22 19:33:19
499,Kijang,35.2442,129.2139,64.11,74,51,2.66,broken clouds,KR,2022-05-22 19:32:02
500,Yumen,40.2833,97.2,63.45,27,28,15.14,scattered clouds,CN,2022-05-22 19:35:54
501,Luena,-11.7833,19.9167,59.49,54,50,4.94,scattered clouds,AO,2022-05-22 19:32:38
502,Oranjestad,12.524,-70.027,85.95,62,20,26.46,few clouds,AW,2022-05-22 19:35:54
503,Wajima,37.4,136.9,59.07,86,79,12.26,broken clouds,JP,2022-05-22 19:35:54
504,Bennington,42.8781,-73.1968,91.22,47,40,8.05,scattered clouds,US,2022-05-22 19:35:42
505,Igarka,67.4667,86.5833,39.78,95,99,9.04,overcast clouds,RU,2022-05-22 19:35:55
506,Gibgos,13.859,123.7675,79.25,86,97,3.83,overcast clouds,PH,2022-05-22 19:35:55
507,Ust-Koksa,50.2696,85.6108,53.98,72,22,1.32,few clouds,RU,2022-05-22 19:35:55
508,Liberty,31.8335,-81.5004,92.26,62,20,11.5,few clouds,US,2022-05-22 19:35:56
509,Ketchikan,55.3422,-131.6461,57.67,44,0,11.5,clear sky,US,2022-05-22 19:32:28
510,Honiara,-9.4333,159.95,77.59,83,3,4.16,clear sky,SB,2022-05-22 19:31:44
511,Conceicao Do Araguaia,-8.2578,-49.2647,85.21,62,20,0.74,few clouds,BR,2022-05-22 19:35:56
512,Awbari,26.5921,12.7805,82.85,12,90,13.94,overcast clouds,LY,2022-05-22 19:36:56
513,Amalapuram,16.5833,82.0167,82.9,74,18,2.93,few clouds,IN,2022-05-22 19:36:57
514,Pine Bluff,34.2284,-92.0032,63.32,88,100,11.5,overcast clouds,US,2022-05-22 19:36:57
515,Harlingen,26.1906,-97.6961,82.49,69,100,23.02,overcast clouds,US,2022-05-22 19:36:57
516,Beasain,43.0502,-2.2009,65.5,97,75,3.47,broken clouds,ES,2022-05-22 19:36:58
517,Martapura,-3.4167,114.85,77.09,100,100,1.14,light rain,ID,2022-05-22 19:36:58
518,Hailar,49.2,119.7,53.51,52,11,11.27,few clouds,CN,2022-05-22 19:36:58
519,Vagay,57.9375,69.0217,38.52,94,11,5.53,few clouds,RU,2022-05-22 19:36:59
520,Pangnirtung,66.1451,-65.7125,35.6,64,75,5.75,broken clouds,CA,2022-05-22 19:36:59
521,Kidal,18.4411,1.4078,87.82,28,24,13.29,few clouds,ML,2022-05-22 19:36:59
522,Dakar,14.6937,-17.4441,74.28,73,40,9.22,scattered clouds,SN,2022-05-22 19:36:08
523,Bajna,27.9,77.6833,87.39,34,0,12.48,clear sky,IN,2022-05-22 19:37:00
524,Burnie,-41.0667,145.9167,42.94,84,11,4.83,few clouds,AU,2022-05-22 19:37:00
525,Livingston,55.9029,-3.5226,56.26,79,40,12.66,scattered clouds,GB,2022-05-22 19:36:39
526,Senador Jose Porfirio,-2.5908,-51.9542,80.55,72,90,2.44,overcast clouds,BR,2022-05-22 19:37:00
527,Ilheus,-14.7889,-39.0494,80.42,69,20,13.8,few clouds,BR,2022-05-22 19:37:01
528,Pangkalanbuun,-2.6833,111.6167,74.16,98,67,1.5,broken clouds,ID,2022-05-22 19:37:01
529,Nuuk,64.1835,-51.7216,34.41,93,100,32.21,light rain and snow,GL,2022-05-22 19:37:01
530,Sarangani,5.4033,125.4636,82.15,75,92,6.62,overcast clouds,PH,2022-05-22 19:37:02
531,Celestun,20.8667,-90.4,84.56,76,69,13.96,broken clouds,MX,2022-05-22 19:37:02
532,Perelyub,51.8667,50.3667,45.14,91,100,7.81,overcast clouds,RU,2022-05-22 19:37:02
533,Aykhal,66.0,111.5,48.79,62,10,4.79,clear sky,RU,2022-05-22 19:37:03
534,Atasu,48.6814,71.6433,46.47,47,0,4.12,clear sky,KZ,2022-05-22 19:37:03
535,Kavaratti,10.5669,72.642,83.14,80,94,18.54,overcast clouds,IN,2022-05-22 19:37:03
536,Semey,50.4111,80.2275,58.14,50,100,3.78,overcast clouds,KZ,2022-05-22 19:37:03
537,Singaraja,-8.112,115.0882,78.82,78,97,4.79,overcast clouds,ID,2022-05-22 19:34:38
538,Poli,-3.3333,36.8,62.87,78,100,2.73,overcast clouds,TZ,2022-05-22 19:37:04
539,Araouane,18.9048,-3.5265,94.39,7,0,11.18,clear sky,ML,2022-05-22 19:37:04
540,Muli,2.9167,73.5667,83.34,77,65,12.64,broken clouds,MV,2022-05-22 19:37:04
541,Port Said,31.2565,32.2841,73.38,60,0,13.8,clear sky,EG,2022-05-22 19:37:05
542,Magdagachi,53.45,125.8,42.06,96,100,12.97,light rain,RU,2022-05-22 19:37:05
543,Tanout,14.9709,8.8879,89.31,13,63,9.31,broken clouds,NE,2022-05-22 19:37:06
544,Sao Francisco,-15.9486,-44.8644,80.76,29,3,1.19,clear sky,BR,2022-05-22 19:36:27
545,Artyom,40.4723,50.333,62.74,80,46,21.0,scattered clouds,AZ,2022-05-22 19:37:06
